fileName,good,startPulse,endPulse
RAXPOL-20240524-003309.317.rkc,True,14500,81519
RAXPOL-20240524-003329.700.rkc,True,12800,80340
RAXPOL-20240524-003349.780.rkc,True,13900,80863
RAXPOL-20240524-003410.002.rkc,True,900,68827
RAXPOL-20240524-003427.202.rkc,True,1000,68746
RAXPOL-20240524-003444.385.rkc,True,10900,78878
RAXPOL-20240524-003504.112.rkc,True,12300,80308
RAXPOL-20240524-003524.191.rkc,True,11000,79521
RAXPOL-20240524-003544.063.rkc,True,13700,81193
RAXPOL-20240524-003604.365.rkc,True,13400,81272
RAXPOL-20240524-003624.685.rkc,True,14000,80874
RAXPOL-20240524-003644.893.rkc,True,800,68790
RAXPOL-20240524-003702.092.rkc,True,1000,68977
RAXPOL-20240524-003719.339.rkc,True,11900,80792
RAXPOL-20240524-003739.532.rkc,True,13100,80579
RAXPOL-20240524-003759.676.rkc,True,11200,80262
RAXPOL-20240524-003819.740.rkc,True,11500,79439
RAXPOL-20240524-003839.611.rkc,True,12500,80343
RAXPOL-20240524-003859.692.rkc,True,13600,81039
RAXPOL-20240524-003919.948.rkc,True,1000,69149
RAXPOL-20240524-003937.243.rkc,True,1100,68950
RAXPOL-20240524-003954.476.rkc,True,12000,79765
RAXPOL-20240524-004014.427.rkc,True,13900,80743
RAXPOL-20240524-004034.604.rkc,True,13100,80987
RAXPOL-20240524-004054.859.rkc,True,13700,80748
RAXPOL-20240524-004115.036.rkc,True,12300,79972
RAXPOL-20240524-004135.036.rkc,True,14000,81232
RAXPOL-20240524-004155.340.rkc,True,900,69111
RAXPOL-20240524-004212.619.rkc,True,1100,68949
RAXPOL-20240524-004229.851.rkc,True,11800,79411
RAXPOL-20240524-004249.707.rkc,True,13900,81124
RAXPOL-20240524-004309.994.rkc,True,11100,79525
RAXPOL-20240524-004329.866.rkc,True,13700,81480
RAXPOL-20240524-004350.234.rkc,True,10300,79237
RAXPOL-20240524-004410.056.rkc,True,12100,79569
RAXPOL-20240524-004429.944.rkc,True,900,69272
RAXPOL-20240524-004447.257.rkc,True,1000,69434
RAXPOL-20240524-004504.616.rkc,True,13000,80788
RAXPOL-20240524-004524.822.rkc,True,13300,80459
RAXPOL-20240524-004544.934.rkc,True,12400,79766
RAXPOL-20240524-004604.871.rkc,True,13400,80617
RAXPOL-20240524-004625.030.rkc,True,12100,79942
RAXPOL-20240524-004645.013.rkc,True,13000,80222
RAXPOL-20240524-004705.062.rkc,True,900,68703
RAXPOL-20240524-004722.245.rkc,True,1000,68947
RAXPOL-20240524-004739.477.rkc,True,11900,80212
RAXPOL-20240524-004759.525.rkc,True,14100,81717
RAXPOL-20240524-004819.956.rkc,True,12200,80098
RAXPOL-20240524-004839.987.rkc,True,14500,81405
RAXPOL-20240524-004900.339.rkc,True,1900,59904
RAXPOL-20240524-004920.307.rkc,True,13200,80501
RAXPOL-20240524-004940.435.rkc,True,900,69432
RAXPOL-20240524-004957.794.rkc,True,1000,69437
RAXPOL-20240524-005015.154.rkc,True,11200,79411
RAXPOL-20240524-005035.009.rkc,True,14300,81278
RAXPOL-20240524-005055.330.rkc,True,11900,80423
RAXPOL-20240524-005115.427.rkc,True,11200,79397
RAXPOL-20240524-005135.282.rkc,True,10200,79243
RAXPOL-20240524-005155.091.rkc,False,0,0
